,Document ID,Corpus,Annotator,Inception Project,Finished Annotation,split
0,DTT-1943-01-13-a-i0005,de,mduring,impresso-newsagencies: DE,True,train
1,DTT-1943-06-05-a-i0036,de,lmarxen,impresso-newsagencies: DE,True,train
2,DTT-1943-07-20-a-i0033,de,mduring,impresso-newsagencies: DE,True,train
3,DTT-1943-09-30-a-i0009,de,mduring,impresso-newsagencies: DE,True,test
4,DTT-1945-08-09-a-i0008,de,mduring,impresso-newsagencies: DE,True,dev
5,DTT-1946-04-27-a-i0108,de,mduring,impresso-newsagencies: DE,True,train
6,DTT-1947-05-31-a-i0011,de,mduring,impresso-newsagencies: DE,True,train
7,DTT-1947-11-05-a-i0019,de,mduring,impresso-newsagencies: DE,True,dev
8,DTT-1948-05-31-a-i0070,de,mduring,impresso-newsagencies: DE,True,train
9,DTT-1948-09-27-a-i0061,de,mduring,impresso-newsagencies: DE,True,train
10,DTT-1949-01-01-a-i0017,de,mduring,impresso-newsagencies: DE,True,train
11,DTT-1949-07-20-a-i0024,de,mduring,impresso-newsagencies: DE,True,train
12,DTT-1950-01-10-a-i0010,de,mduring,impresso-newsagencies: DE,True,train
13,DTT-1950-02-24-a-i0074,de,mduring,impresso-newsagencies: DE,True,train
14,DTT-1950-09-14-a-i0023,de,mduring,impresso-newsagencies: DE,True,train
15,DTT-1950-09-21-a-i0115,de,mduring,impresso-newsagencies: DE,True,train
16,DTT-1951-04-09-a-i0063,de,mduring,impresso-newsagencies: DE,True,train
17,DTT-1952-12-08-a-i0033,de,mduring,impresso-newsagencies: DE,True,train
18,DTT-1953-01-16-a-i0047,de,mduring,impresso-newsagencies: DE,True,train
19,DTT-1953-01-24-a-i0204,de,lmarxen,impresso-newsagencies: DE,True,dev
20,DTT-1953-10-04-a-i0055,de,mduring,impresso-newsagencies: DE,True,train
21,DTT-1954-09-26-a-i0043,de,mduring,impresso-newsagencies: DE,True,dev
22,DTT-1955-07-02-a-i0079,de,mduring,impresso-newsagencies: DE,True,test
23,DTT-1955-09-11-a-i0025,de,mduring,impresso-newsagencies: DE,True,train
24,DTT-1957-06-24-a-i0040,de,mduring,impresso-newsagencies: DE,True,train
25,DTT-1957-09-13-a-i0053,de,mduring,impresso-newsagencies: DE,True,train
26,DTT-1958-01-30-a-i0100,de,mduring,impresso-newsagencies: DE,True,test
