,Document ID,Annotator,Inception Project,Finished Annotation,Corpus,split
0,DTT-1943-01-13-a-i0005,mduring,impresso-newsagencies: DE,True,de,train
1,DTT-1943-06-05-a-i0036,mduring,impresso-newsagencies: DE,True,de,train
2,DTT-1943-07-20-a-i0033,mduring,impresso-newsagencies: DE,True,de,train
3,DTT-1943-09-30-a-i0009,mduring,impresso-newsagencies: DE,True,de,test
4,DTT-1945-08-09-a-i0008,mduring,impresso-newsagencies: DE,True,de,dev
5,DTT-1946-04-27-a-i0108,mduring,impresso-newsagencies: DE,True,de,train
6,DTT-1947-05-31-a-i0011,mduring,impresso-newsagencies: DE,True,de,train
7,DTT-1947-11-05-a-i0019,mduring,impresso-newsagencies: DE,True,de,dev
8,DTT-1948-05-31-a-i0070,mduring,impresso-newsagencies: DE,True,de,train
9,DTT-1948-09-27-a-i0061,mduring,impresso-newsagencies: DE,True,de,train
10,DTT-1949-01-01-a-i0017,mduring,impresso-newsagencies: DE,True,de,train
11,DTT-1949-07-20-a-i0024,mduring,impresso-newsagencies: DE,True,de,train
12,DTT-1950-01-10-a-i0010,mduring,impresso-newsagencies: DE,True,de,train
13,DTT-1950-02-24-a-i0074,mduring,impresso-newsagencies: DE,True,de,train
14,DTT-1950-09-14-a-i0023,mduring,impresso-newsagencies: DE,True,de,train
15,DTT-1950-09-21-a-i0115,mduring,impresso-newsagencies: DE,True,de,train
16,DTT-1951-04-09-a-i0063,mduring,impresso-newsagencies: DE,True,de,train
17,DTT-1952-12-08-a-i0033,mduring,impresso-newsagencies: DE,True,de,train
18,DTT-1953-01-16-a-i0047,mduring,impresso-newsagencies: DE,True,de,train
19,DTT-1953-01-24-a-i0204,mduring,impresso-newsagencies: DE,True,de,dev
20,DTT-1953-10-04-a-i0055,mduring,impresso-newsagencies: DE,True,de,train
21,DTT-1954-09-26-a-i0043,mduring,impresso-newsagencies: DE,True,de,dev
22,DTT-1954-10-16-a-i0191,mduring,impresso-newsagencies: DE,True,de,dev
23,DTT-1955-07-02-a-i0079,mduring,impresso-newsagencies: DE,True,de,test
24,DTT-1955-09-11-a-i0025,mduring,impresso-newsagencies: DE,True,de,train
25,DTT-1957-06-24-a-i0040,mduring,impresso-newsagencies: DE,True,de,train
26,DTT-1957-09-13-a-i0053,mduring,impresso-newsagencies: DE,True,de,train
27,DTT-1958-01-30-a-i0100,mduring,impresso-newsagencies: DE,True,de,test
28,DTT-1959-01-19-a-i0116,mduring,impresso-newsagencies: DE,True,de,test
29,DTT-1959-07-30-a-i0007,mduring,impresso-newsagencies: DE,True,de,train
30,DTT-1959-08-20-a-i0025,mduring,impresso-newsagencies: DE,True,de,train
31,DTT-1959-12-01-a-i0079,mduring,impresso-newsagencies: DE,True,de,train
32,DTT-1960-01-06-a-i0010,mduring,impresso-newsagencies: DE,True,de,test
33,DTT-1960-05-28-a-i0078,mduring,impresso-newsagencies: DE,True,de,train
34,DTT-1962-02-26-a-i0044,mduring,impresso-newsagencies: DE,True,de,test
35,DTT-1962-07-04-a-i0010,mduring,impresso-newsagencies: DE,True,de,train
36,DTT-1963-02-20-a-i0055,mduring,impresso-newsagencies: DE,True,de,train
37,DTT-1963-08-30-a-i0256,mduring,impresso-newsagencies: DE,True,de,test
38,DTT-1965-03-21-a-i0027,mduring,impresso-newsagencies: DE,True,de,train
39,DTT-1965-08-12-a-i0021,mduring,impresso-newsagencies: DE,True,de,train
40,DTT-1967-07-18-a-i0040,mduring,impresso-newsagencies: DE,True,de,train
41,DTT-1967-07-18-a-i0056,mduring,impresso-newsagencies: DE,True,de,train
42,DTT-1969-08-29-a-i0092,mduring,impresso-newsagencies: DE,True,de,train
43,DTT-1969-10-13-a-i0105,mduring,impresso-newsagencies: DE,True,de,dev
44,DTT-1970-02-27-a-i0022,mduring,impresso-newsagencies: DE,True,de,train
45,DTT-1970-10-14-a-i0011,mduring,impresso-newsagencies: DE,True,de,train
46,DTT-1971-07-08-a-i0116,mduring,impresso-newsagencies: DE,True,de,train
47,DTT-1971-08-02-a-i0010,mduring,impresso-newsagencies: DE,True,de,train
48,DTT-1971-11-16-a-i0099,mduring,impresso-newsagencies: DE,True,de,train
49,DTT-1974-02-09-a-i0047,mduring,impresso-newsagencies: DE,True,de,train
50,DTT-1975-04-04-a-i0119,mduring,impresso-newsagencies: DE,True,de,dev
51,DTT-1975-06-10-a-i0088,mduring,impresso-newsagencies: DE,True,de,train
52,DTT-1975-09-15-a-i0058,mduring,impresso-newsagencies: DE,True,de,train
53,DTT-1975-12-05-a-i0338,mduring,impresso-newsagencies: DE,True,de,train
